customer_id,customer_name,city,state,signup_date
1,Customer_0001,Hyderabad,Telangana,2024-04-19
2,Customer_0002,Kochi,Kerala,2024-02-22
3,Customer_0003,Raipur,Chhattisgarh,2023-12-13
4,Customer_0004,Ahmedabad,Gujarat,2024-10-01
5,Customer_0005,Delhi,Delhi,2025-07-27
6,Customer_0006,Hyderabad,Telangana,2025-08-12
7,Customer_0007,Patna,Bihar,2025-05-25
8,Customer_0008,Ahmedabad,Gujarat,2025-02-01
9,Customer_0009,Ahmedabad,Gujarat,2024-10-25
10,Customer_0010,Bengaluru,Karnataka,2023-01-25
11,Customer_0011,Delhi,Delhi,2024-12-10
12,Customer_0012,Nagpur,Maharashtra,2026-03-30
13,Customer_0013,Pune,Maharashtra,2023-06-26
14,Customer_0014,Surat,Gujarat,2023-10-12
15,Customer_0015,Chennai,Tamil Nadu,2023-03-04
16,Customer_0016,Pune,Maharashtra,2025-09-29
17,Customer_0017,Mumbai,Maharashtra,2024-10-23
18,Customer_0018,Surat,Gujarat,2024-10-27
19,Customer_0019,Surat,Gujarat,2023-06-05
20,Customer_0020,Bhopal,Madhya Pradesh,2025-12-08
21,Customer_0021,Jaipur,Rajasthan,2025-08-24
22,Customer_0022,Indore,Madhya Pradesh,2025-04-28
23,Customer_0023,Raipur,Chhattisgarh,2026-01-12
24,Customer_0024,Raipur,Chhattisgarh,2024-11-19
25,Customer_0025,Patna,Bihar,2023-05-28
26,Customer_0026,Surat,Gujarat,2023-12-08
27,Customer_0027,Kochi,Kerala,2024-04-20
28,Customer_0028,Nagpur,Maharashtra,2025-12-22
29,Customer_0029,Mysuru,Karnataka,2024-07-14
30,Customer_0030,Patna,Bihar,2023-11-23
31,Customer_0031,Hyderabad,Telangana,2026-03-10
32,Customer_0032,Noida,Uttar Pradesh,2025-09-16
33,Customer_0033,Hyderabad,Telangana,2023-08-03
34,Customer_0034,Lucknow,Uttar Pradesh,2024-03-10
35,Customer_0035,Bengaluru,Karnataka,2025-08-09
36,Customer_0036,Bhubaneswar,Odisha,2024-12-23
37,Customer_0037,Lucknow,Uttar Pradesh,2023-02-01
38,Customer_0038,Noida,Uttar Pradesh,2024-10-31
39,Customer_0039,Pune,Maharashtra,2023-10-12
40,Customer_0040,Kochi,Kerala,2024-03-04
41,Customer_0041,Raipur,Chhattisgarh,2023-10-13
42,Customer_0042,Hyderabad,Telangana,2026-03-13
43,Customer_0043,Surat,Gujarat,2025-11-08
44,Customer_0044,Delhi,Delhi,2023-01-18
45,Customer_0045,Raipur,Chhattisgarh,2025-02-07
46,Customer_0046,Nagpur,Maharashtra,2024-08-12
47,Customer_0047,Bhubaneswar,Odisha,2026-04-13
48,Customer_0048,Bhopal,Madhya Pradesh,2025-10-06
49,Customer_0049,Bengaluru,Karnataka,2023-07-13
50,Customer_0050,Lucknow,Uttar Pradesh,2024-05-16
51,Customer_0051,Delhi,Delhi,2025-09-14
52,Customer_0052,Bengaluru,Karnataka,2026-02-10
53,Customer_0053,Pune,Maharashtra,2023-04-24
54,Customer_0054,Chennai,Tamil Nadu,2025-08-04
55,Customer_0055,Jaipur,Rajasthan,2025-04-10
56,Customer_0056,Bengaluru,Karnataka,2025-07-13
57,Customer_0057,Lucknow,Uttar Pradesh,2023-02-24
58,Customer_0058,Surat,Gujarat,2025-03-10
59,Customer_0059,Pune,Maharashtra,2025-02-16
60,Customer_0060,Jaipur,Rajasthan,2023-06-11
61,Customer_0061,Bengaluru,Karnataka,2023-03-28
62,Customer_0062,Bhubaneswar,Odisha,2023-02-24
63,Customer_0063,Indore,Madhya Pradesh,2025-10-28
64,Customer_0064,Raipur,Chhattisgarh,2025-04-12
65,Customer_0065,Delhi,Delhi,2023-11-09
66,Customer_0066,Bhubaneswar,Odisha,2025-01-28
67,Customer_0067,Delhi,Delhi,2024-03-18
68,Customer_0068,Indore,Madhya Pradesh,2023-11-24
69,Customer_0069,Kolkata,West Bengal,2025-12-13
70,Customer_0070,Lucknow,Uttar Pradesh,2025-01-30
71,Customer_0071,Raipur,Chhattisgarh,2024-08-01
72,Customer_0072,Kolkata,West Bengal,2025-12-10
73,Customer_0073,Noida,Uttar Pradesh,2025-10-03
74,Customer_0074,Raipur,Chhattisgarh,2023-04-06
75,Customer_0075,Kolkata,West Bengal,2026-01-16
76,Customer_0076,Mumbai,Maharashtra,2026-01-06
77,Customer_0077,Hyderabad,Telangana,2026-02-17
78,Customer_0078,Noida,Uttar Pradesh,2025-03-24
79,Customer_0079,Mumbai,Maharashtra,2024-05-05
80,Customer_0080,Surat,Gujarat,2024-03-27
81,Customer_0081,Delhi,Delhi,2023-06-14
82,Customer_0082,Ahmedabad,Gujarat,2023-07-01
83,Customer_0083,Patna,Bihar,2024-04-13
84,Customer_0084,Bhopal,Madhya Pradesh,2025-06-28
85,Customer_0085,Delhi,Delhi,2025-01-04
86,Customer_0086,Nagpur,Maharashtra,2025-04-02
87,Customer_0087,Nagpur,Maharashtra,2025-08-01
88,Customer_0088,Mumbai,Maharashtra,2023-01-07
89,Customer_0089,Mysuru,Karnataka,2023-11-26
90,Customer_0090,Jaipur,Rajasthan,2025-02-13
91,Customer_0091,Hyderabad,Telangana,2023-05-31
92,Customer_0092,Noida,Uttar Pradesh,2026-01-13
93,Customer_0093,Hyderabad,Telangana,2023-05-27
94,Customer_0094,Noida,Uttar Pradesh,2025-07-03
95,Customer_0095,Delhi,Delhi,2024-11-30
96,Customer_0096,Surat,Gujarat,2023-03-23
97,Customer_0097,Pune,Maharashtra,2024-05-28
98,Customer_0098,Mumbai,Maharashtra,2025-03-25
99,Customer_0099,Indore,Madhya Pradesh,2024-12-09
